fieldmap_name:      	LDE05
timestamp:          	2026-01-19_13-10-08
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=0.0A_ID=5480.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	0.0
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-2.8449080089e-05	8.7281275115e-05	-2.5382997057e-05
-125.000	0.000	-350.000	-2.7585451882e-05	8.8668015351e-05	-2.4255342815e-05
-120.000	0.000	-350.000	-3.2057226255e-05	9.0638255494e-05	-2.5870511178e-05
-115.000	0.000	-350.000	-2.7613792013e-05	9.2140062504e-05	-2.3863405170e-05
-110.000	0.000	-350.000	-2.8063505147e-05	9.4171176681e-05	-2.3537407886e-05
-105.000	0.000	-350.000	-3.0068942321e-05	9.6382685867e-05	-2.7273040403e-05
-100.000	0.000	-350.000	-2.8692954376e-05	9.7987681790e-05	-2.4996245734e-05
-95.000	0.000	-350.000	-2.9041239671e-05	9.8805769444e-05	-2.2805395801e-05
-90.000	0.000	-350.000	-3.0822938967e-05	8.9418547674e-05	-2.6303198482e-05
-85.000	0.000	-350.000	-2.7118585511e-05	1.0288210275e-04	-2.2231196039e-05
-80.000	0.000	-350.000	-2.9892189398e-05	1.0406172279e-04	-2.3414418001e-05
-75.000	0.000	-350.000	-2.8931608111e-05	1.0606759651e-04	-2.2752050791e-05
-70.000	0.000	-350.000	-2.8893572672e-05	1.0750184818e-04	-2.3780424043e-05
-65.000	0.000	-350.000	-3.6429064366e-05	1.0885221246e-04	-2.6575109853e-05
-60.000	0.000	-350.000	-2.9528242451e-05	1.0972597759e-04	-2.2503107410e-05
-55.000	0.000	-350.000	-3.0303121299e-05	1.1048467593e-04	-2.0454510836e-05
-50.000	0.000	-350.000	-2.7809935553e-05	1.1104145065e-04	-2.1149477775e-05
-45.000	0.000	-350.000	-2.8751872017e-05	1.1282164501e-04	-2.0041827909e-05
-40.000	0.000	-350.000	-2.6457067186e-05	1.1357514680e-04	-2.0418206593e-05
-35.000	0.000	-350.000	-3.2049768326e-05	1.1378820592e-04	-2.1042046852e-05
-30.000	0.000	-350.000	-2.7334119666e-05	1.1508957403e-04	-1.7118965886e-05
-25.000	0.000	-350.000	-3.1723856819e-05	1.1583119795e-04	-2.0630104828e-05
-20.000	0.000	-350.000	-2.9566277890e-05	1.1669531231e-04	-1.9015677364e-05
-15.000	0.000	-350.000	-2.5101961440e-05	1.1655945928e-04	-1.4406520288e-05
-10.000	0.000	-350.000	-3.1571715062e-05	1.1787493235e-04	-1.9131258220e-05
-5.000	0.000	-350.000	-3.0857245442e-05	1.1775318427e-04	-1.8211797695e-05
0.000	0.000	-350.000	-2.8794382213e-05	1.1826170518e-04	-1.5293381086e-05
5.000	0.000	-350.000	-3.0770733462e-05	1.1855939406e-04	-1.6378803867e-05
10.000	0.000	-350.000	-2.9768387773e-05	1.1839978531e-04	-1.4745853827e-05
15.000	0.000	-350.000	-2.9957073382e-05	1.1795436554e-04	-1.3761934746e-05
20.000	0.000	-350.000	-3.1047422637e-05	1.1848441507e-04	-1.5312644562e-05
25.000	0.000	-350.000	-2.9346268977e-05	1.1842947996e-04	-1.4307980200e-05
30.000	0.000	-350.000	-2.8401349342e-05	1.1793209455e-04	-1.2423864067e-05
35.000	0.000	-350.000	-3.0978809688e-05	1.1842502577e-04	-1.4686581593e-05
40.000	0.000	-350.000	-2.9605059122e-05	1.1876502953e-04	-1.3081044960e-05
45.000	0.000	-350.000	-2.5820905820e-05	1.1664705850e-04	-8.6704498557e-06
50.000	0.000	-350.000	-3.3457825365e-05	1.1729291717e-04	-1.3856029417e-05
55.000	0.000	-350.000	-2.9047951808e-05	1.1614076469e-04	-9.3520805459e-06
60.000	0.000	-350.000	-3.0454517263e-05	1.1542883542e-04	-1.0678296780e-05
65.000	0.000	-350.000	-3.0080129215e-05	1.1537686978e-04	-9.0023743657e-06
70.000	0.000	-350.000	-3.3442163713e-05	1.1458624968e-04	-1.0746459849e-05
75.000	0.000	-350.000	-3.4669738864e-05	1.1370951510e-04	-1.2098607684e-05
80.000	0.000	-350.000	-3.4806964761e-05	1.1310077474e-04	-1.2146025471e-05
85.000	0.000	-350.000	-3.6344043973e-05	1.1215871192e-04	-1.1475508325e-05
90.000	0.000	-350.000	-3.6442488639e-05	1.1263828054e-04	-1.2736525101e-05
95.000	0.000	-350.000	-3.3539862586e-05	1.1059900034e-04	-8.8779026745e-06
100.000	0.000	-350.000	-3.7906480143e-05	1.0886037849e-04	-1.1894118477e-05
105.000	0.000	-350.000	-4.0226641918e-05	1.0835259995e-04	-1.2284574318e-05
110.000	0.000	-350.000	-3.2295879991e-05	1.0618192091e-04	-6.9960092461e-06
115.000	0.000	-350.000	-3.3334023740e-05	1.0650262315e-04	-8.4607743281e-06
120.000	0.000	-350.000	-3.4765946151e-05	1.0458286392e-04	-8.8297439844e-06
125.000	0.000	-350.000	-3.4415423477e-05	1.0376848810e-04	-8.5126375328e-06
130.000	0.000	-350.000	-3.2045293569e-05	1.0314935462e-04	-9.6462190068e-06
-130.000	0.000	-349.000	-2.8370771832e-05	8.8071152851e-05	-2.5708994342e-05
-125.000	0.000	-349.000	-2.8088862106e-05	8.9500207966e-05	-2.4339064845e-05
-120.000	0.000	-349.000	-3.2681454932e-05	9.1316778286e-05	-2.6595855135e-05
-115.000	0.000	-349.000	-2.7104415445e-05	9.2362030026e-05	-2.3899709413e-05
-110.000	0.000	-349.000	-2.7891226981e-05	9.5274332992e-05	-2.3380336467e-05
-105.000	0.000	-349.000	-3.0550724550e-05	9.6197836660e-05	-2.6653645563e-05
-100.000	0.000	-349.000	-2.9368642765e-05	9.8532578648e-05	-2.5222221124e-05
-95.000	0.000	-349.000	-2.9392508139e-05	9.9354378134e-05	-2.2979507988e-05
-90.000	0.000	-349.000	-3.0780428770e-05	9.0127507484e-05	-2.6029064403e-05
-85.000	0.000	-349.000	-2.7237912379e-05	1.0382936214e-04	-2.2494957478e-05
-80.000	0.000	-349.000	-2.9749742949e-05	1.0517156039e-04	-2.4044926386e-05
-75.000	0.000	-349.000	-2.9282876579e-05	1.0666965557e-04	-2.2237123262e-05
-70.000	0.000	-349.000	-2.9540920931e-05	1.0790940727e-04	-2.4321283175e-05
-65.000	0.000	-349.000	-3.6605071496e-05	1.0963540890e-04	-2.7241181577e-05
-60.000	0.000	-349.000	-2.9622958152e-05	1.1050323509e-04	-2.2208968951e-05
-55.000	0.000	-349.000	-3.0000329372e-05	1.1137996968e-04	-2.0381902350e-05
-50.000	0.000	-349.000	-2.7936720350e-05	1.1175486466e-04	-2.0556755439e-05
-45.000	0.000	-349.000	-2.9040493878e-05	1.1380305325e-04	-1.9134221831e-05
-40.000	0.000	-349.000	-2.6589818327e-05	1.1487354544e-04	-2.0629363925e-05
-35.000	0.000	-349.000	-3.2389104106e-05	1.1489655879e-04	-2.1995588910e-05
-30.000	0.000	-349.000	-2.7679421791e-05	1.1541473046e-04	-1.6661828783e-05
-25.000	0.000	-349.000	-3.1283838994e-05	1.1636273221e-04	-2.0676040809e-05
-20.000	0.000	-349.000	-2.9812389555e-05	1.1742877021e-04	-1.9748430353e-05
-15.000	0.000	-349.000	-2.5800023618e-05	1.1780589228e-04	-1.5912035026e-05
-10.000	0.000	-349.000	-3.1353943529e-05	1.1869598946e-04	-1.9598027060e-05
-5.000	0.000	-349.000	-3.0558182479e-05	1.1883703906e-04	-1.8245138326e-05
0.000	0.000	-349.000	-2.8531117311e-05	1.1872345701e-04	-1.5985384416e-05
5.000	0.000	-349.000	-3.1021319885e-05	1.1942796262e-04	-1.7254551120e-05
10.000	0.000	-349.000	-3.0575335716e-05	1.1909538252e-04	-1.4625827553e-05
15.000	0.000	-349.000	-2.9836254929e-05	1.1856830246e-04	-1.3223298321e-05
20.000	0.000	-349.000	-3.1243566176e-05	1.1927355043e-04	-1.4420597444e-05
25.000	0.000	-349.000	-2.9338065255e-05	1.1908201993e-04	-1.4465792522e-05
30.000	0.000	-349.000	-2.8786924284e-05	1.1925573364e-04	-1.3193662204e-05
35.000	0.000	-349.000	-3.1052643188e-05	1.1895952949e-04	-1.3644872084e-05
40.000	0.000	-349.000	-3.0168878573e-05	1.1885188638e-04	-1.1823732699e-05
45.000	0.000	-349.000	-2.6525680135e-05	1.1763143620e-04	-8.2614714414e-06
50.000	0.000	-349.000	-3.3658443661e-05	1.1792021669e-04	-1.3946419574e-05
55.000	0.000	-349.000	-2.9144904888e-05	1.1731073397e-04	-8.7600991095e-06
60.000	0.000	-349.000	-3.0416481824e-05	1.1635976275e-04	-1.0035933945e-05
65.000	0.000	-349.000	-3.0385904314e-05	1.1642434862e-04	-8.9201341412e-06
70.000	0.000	-349.000	-3.2843291996e-05	1.1573097850e-04	-1.1158401874e-05
75.000	0.000	-349.000	-3.4661535142e-05	1.1499009695e-04	-1.2660953003e-05
80.000	0.000	-349.000	-3.5664626622e-05	1.1441550544e-04	-1.2201593190e-05
85.000	0.000	-349.000	-3.6681888166e-05	1.1277042174e-04	-1.2005994818e-05
90.000	0.000	-349.000	-3.6585680880e-05	1.1287880722e-04	-1.1802987418e-05
95.000	0.000	-349.000	-3.3962727173e-05	1.1160936086e-04	-8.5274555913e-06
100.000	0.000	-349.000	-3.7578331258e-05	1.1003109013e-04	-1.2489804427e-05
105.000	0.000	-349.000	-3.9885068761e-05	1.0911649486e-04	-1.2216411249e-05
110.000	0.000	-349.000	-3.2224283870e-05	1.0695769369e-04	-7.5324229636e-06
115.000	0.000	-349.000	-3.3250494932e-05	1.0764957907e-04	-8.6556317972e-06
120.000	0.000	-349.000	-3.5014295194e-05	1.0565187138e-04	-8.5000421831e-06
125.000	0.000	-349.000	-3.4608583844e-05	1.0469644597e-04	-9.3209626231e-06
130.000	0.000	-349.000	-3.2288422062e-05	1.0358438126e-04	-8.8719754511e-06
-130.000	0.000	-348.000	-2.9100903105e-05	8.8529192854e-05	-2.4588749128e-05
-125.000	0.000	-348.000	-2.8812281244e-05	8.9838726996e-05	-2.4027144716e-05
-120.000	0.000	-348.000	-3.2808239729e-05	9.2148970900e-05	-2.7258963247e-05
-115.000	0.000	-348.000	-2.7699558200e-05	9.2940333368e-05	-2.4037517356e-05
-110.000	0.000	-348.000	-2.7680167584e-05	9.6080542786e-05	-2.3845623500e-05
-105.000	0.000	-348.000	-3.0992979754e-05	9.6903084637e-05	-2.6376547871e-05
-100.000	0.000	-348.000	-2.9377592280e-05	9.8723366785e-05	-2.4819910839e-05
