fieldmap_name:      	LDE05
timestamp:          	2026-01-20_07-54-13
filename:           	2026-01-20_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=10.0A_ID=5484.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	10.0
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	5.000	-350.000	-3.8364396996e-05	1.8821413770e-04	-3.6548404016e-05
-125.000	5.000	-350.000	-3.5839887958e-05	2.0177791195e-04	-3.3007628982e-05
-120.000	5.000	-350.000	-3.5601980016e-05	2.1437586764e-04	-3.3357335158e-05
-115.000	5.000	-350.000	-3.8187644074e-05	2.2778522962e-04	-3.3183963876e-05
-110.000	5.000	-350.000	-3.6037523082e-05	2.4113297517e-04	-3.2182263133e-05
-105.000	5.000	-350.000	-4.0489161026e-05	2.5373538495e-04	-3.3652214519e-05
-100.000	5.000	-350.000	-4.2323065814e-05	2.6636377752e-04	-3.3037265099e-05
-95.000	5.000	-350.000	-3.7432155845e-05	2.7848736099e-04	-3.0685639241e-05
-90.000	5.000	-350.000	-3.5364072074e-05	2.9149955685e-04	-3.0016603907e-05
-85.000	5.000	-350.000	-4.2866003059e-05	3.0383026044e-04	-3.1932578850e-05
-80.000	5.000	-350.000	-4.5340543962e-05	3.1440229834e-04	-3.1243539138e-05
-75.000	5.000	-350.000	-4.3226966832e-05	3.2700767739e-04	-3.0862715038e-05
-70.000	5.000	-350.000	-4.3202355665e-05	3.3745796717e-04	-3.1455437372e-05
-65.000	5.000	-350.000	-4.5670184431e-05	3.4731956049e-04	-2.9788405808e-05
-60.000	5.000	-350.000	-4.1499710431e-05	3.5711062899e-04	-2.8875613414e-05
-55.000	5.000	-350.000	-5.2364421646e-05	3.6751414964e-04	-3.3750754607e-05
-50.000	5.000	-350.000	-4.3980217679e-05	3.7432016341e-04	-2.8876354317e-05
-45.000	5.000	-350.000	-4.6195222645e-05	3.8230134295e-04	-2.7297490199e-05
-40.000	5.000	-350.000	-5.1975863538e-05	3.8976583557e-04	-3.0146261917e-05
-35.000	5.000	-350.000	-5.1117455892e-05	3.9640555927e-04	-2.9694311138e-05
-30.000	5.000	-350.000	-5.2518054987e-05	4.0203937671e-04	-2.9358682116e-05
-25.000	5.000	-350.000	-5.0709507168e-05	4.0549583394e-04	-2.8362908595e-05
-20.000	5.000	-350.000	-4.6926099704e-05	4.0913639800e-04	-2.5560813758e-05
-15.000	5.000	-350.000	-4.8299850256e-05	4.1238944688e-04	-2.5258525367e-05
-10.000	5.000	-350.000	-4.4643973376e-05	4.1405977093e-04	-2.2235641456e-05
-5.000	5.000	-350.000	-5.0523058939e-05	4.1476353413e-04	-2.7058178556e-05
0.000	5.000	-350.000	-4.9951781565e-05	4.1565437362e-04	-2.5094044919e-05
5.000	5.000	-350.000	-4.5056396860e-05	4.1501074208e-04	-2.2620170071e-05
10.000	5.000	-350.000	-4.5745509516e-05	4.1384968128e-04	-2.2375672108e-05
15.000	5.000	-350.000	-4.2714607097e-05	4.1109624489e-04	-1.9757321188e-05
20.000	5.000	-350.000	-4.5621707892e-05	4.0861748400e-04	-2.2139324077e-05
25.000	5.000	-350.000	-4.2265639759e-05	4.0433922733e-04	-2.0238167183e-05
30.000	5.000	-350.000	-4.5304745902e-05	3.9980559668e-04	-2.0148517930e-05
35.000	5.000	-350.000	-4.4377725305e-05	3.9471890316e-04	-2.0743462975e-05
40.000	5.000	-350.000	-4.6735922510e-05	3.9059431630e-04	-2.1614023906e-05
45.000	5.000	-350.000	-4.0501839505e-05	3.8242012155e-04	-1.6852981737e-05
50.000	5.000	-350.000	-4.0248269913e-05	3.7412863292e-04	-1.7464967550e-05
55.000	5.000	-350.000	-3.9988733976e-05	3.6629889608e-04	-1.6968562593e-05
60.000	5.000	-350.000	-3.6526763239e-05	3.5675206610e-04	-1.4623604845e-05
65.000	5.000	-350.000	-3.3319853674e-05	3.4691497088e-04	-1.1794837485e-05
70.000	5.000	-350.000	-4.0188606479e-05	3.3889593061e-04	-1.6789264086e-05
75.000	5.000	-350.000	-3.7755084180e-05	3.2808782029e-04	-1.6178019175e-05
80.000	5.000	-350.000	-3.6188173253e-05	3.1691595049e-04	-1.4093859255e-05
