fieldmap_name:      	LDE05
timestamp:          	2026-01-15_10-46-50
filename:           	2026-01-15_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=9.95A_ID=5475.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	9.95
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-7.5280968404e-06	1.7522940912e-04	-4.3357301796e-05
-125.000	0.000	-350.000	-6.1714994938e-06	1.8854449070e-04	-4.1722869970e-05
-120.000	0.000	-350.000	-4.8350385553e-06	2.0196053405e-04	-4.2417095999e-05
-115.000	0.000	-350.000	-4.9178215711e-06	2.1275231259e-04	-4.2544531300e-05
-110.000	0.000	-350.000	-2.1650998471e-06	2.2537699344e-04	-4.1150152017e-05
-105.000	0.000	-350.000	-2.5171141128e-06	2.3980117008e-04	-4.1451699503e-05
-100.000	0.000	-350.000	1.3431101264e-06	2.5126701711e-04	-3.8612559537e-05
-95.000	0.000	-350.000	2.2209084138e-06	2.6454943436e-04	-3.7443414737e-05
-90.000	0.000	-350.000	1.3968072179e-06	2.7482601057e-04	-3.9743177384e-05
-85.000	0.000	-350.000	1.2245290494e-06	2.8764444885e-04	-3.7699026243e-05
-80.000	0.000	-350.000	5.5091094790e-06	2.9868640462e-04	-3.5122165904e-05
-75.000	0.000	-350.000	5.0526842004e-06	3.0920276506e-04	-3.4902858641e-05
-70.000	0.000	-350.000	5.4472086651e-06	3.1851055321e-04	-3.5530403411e-05
-65.000	0.000	-350.000	4.4314386824e-06	3.2910708916e-04	-3.5035480263e-05
-60.000	0.000	-350.000	2.7116401669e-06	3.3922851069e-04	-3.5530403411e-05
-55.000	0.000	-350.000	3.5797431468e-06	3.4763061195e-04	-3.3221749925e-05
-50.000	0.000	-350.000	5.3278817948e-06	3.5562663886e-04	-3.1931097044e-05
-45.000	0.000	-350.000	7.7942190457e-06	3.6195159932e-04	-2.9346827670e-05
-40.000	0.000	-350.000	7.3467432818e-06	3.6875018944e-04	-2.8934144744e-05
-35.000	0.000	-350.000	7.9560561137e-06	3.7518650483e-04	-2.7216731781e-05
-30.000	0.000	-350.000	6.9477440590e-06	3.8039494642e-04	-2.7607928522e-05
-25.000	0.000	-350.000	5.7440342548e-06	3.8418843795e-04	-2.6454342678e-05
-20.000	0.000	-350.000	8.6914079528e-06	3.8918753226e-04	-2.3890077676e-05
-15.000	0.000	-350.000	4.6074458159e-06	3.9098108911e-04	-2.5023659142e-05
-10.000	0.000	-350.000	6.2735472417e-06	3.9334255614e-04	-2.2489030255e-05
-5.000	0.000	-350.000	6.8470620122e-06	3.9552288581e-04	-2.1725159344e-05
0.000	0.000	-350.000	7.4660701521e-06	3.9432916088e-04	-2.0159631474e-05
5.000	0.000	-350.000	1.2158599336e-05	3.9431357119e-04	-1.6504757364e-05
10.000	0.000	-350.000	9.4834400556e-06	3.9258311547e-04	-1.7634634319e-05
15.000	0.000	-350.000	9.3976738674e-06	3.9055794035e-04	-1.5569737876e-05
20.000	0.000	-350.000	7.6495352153e-06	3.8759738376e-04	-1.5159277657e-05
25.000	0.000	-350.000	7.1423960163e-06	3.8442599515e-04	-1.4481351484e-05
30.000	0.000	-350.000	1.0154653702e-05	3.7923759744e-04	-1.1127283951e-05
35.000	0.000	-350.000	7.2669434372e-06	3.7366465401e-04	-1.1512553472e-05
40.000	0.000	-350.000	7.8561198597e-06	3.6736419165e-04	-8.7423174393e-06
45.000	0.000	-350.000	1.0442529778e-05	3.6056782863e-04	-7.1723441422e-06
50.000	0.000	-350.000	9.7101611096e-06	3.5397561631e-04	-7.2368026967e-06
55.000	0.000	-350.000	8.5832679764e-06	3.4602338901e-04	-6.6292622983e-06
