fieldmap_name:      	LDE05
timestamp:          	2026-01-19_14-05-36
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=2.5A_ID=5481.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	2.5
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-2.0463875226e-05	5.9742455005e-05	-2.7692391454e-05
-125.000	0.000	-350.000	-1.8226496440e-05	6.4192940960e-05	-2.7826494882e-05
-120.000	0.000	-350.000	-2.1551241315e-05	6.7291577883e-05	-2.8329567964e-05
-115.000	0.000	-350.000	-2.3297142557e-05	7.1507476081e-05	-2.9774328653e-05
-110.000	0.000	-350.000	-1.8597901319e-05	7.5375204482e-05	-2.5802348109e-05
-105.000	0.000	-350.000	-2.3287447249e-05	7.9843507213e-05	-2.9345345864e-05
-100.000	0.000	-350.000	-2.0433297716e-05	8.3703069578e-05	-2.8236955099e-05
-95.000	0.000	-350.000	-2.1155225270e-05	8.7360708308e-05	-2.7232290742e-05
-90.000	0.000	-350.000	-1.7883431693e-05	9.1219528301e-05	-2.3885632258e-05
-85.000	0.000	-350.000	-2.3155441901e-05	9.5291407417e-05	-2.8531834460e-05
-80.000	0.000	-350.000	-2.1037389987e-05	9.8214845876e-05	-2.6484719697e-05
-75.000	0.000	-350.000	-2.0605575882e-05	1.0180047506e-04	-2.6251335278e-05
-70.000	0.000	-350.000	-1.9816526964e-05	1.0468159864e-04	-2.5854952217e-05
-65.000	0.000	-350.000	-1.9841883924e-05	1.0753005810e-04	-2.4704329984e-05
-60.000	0.000	-350.000	-2.1017253578e-05	1.1042009007e-04	-2.5774934701e-05
-55.000	0.000	-350.000	-2.2354460298e-05	1.1327523082e-04	-2.5849765896e-05
-50.000	0.000	-350.000	-2.0675680417e-05	1.1676361001e-04	-2.4402782496e-05
