fieldmap_name:      	LDE05
timestamp:          	2026-01-19_11-16-16
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=10.0A_ID=5478.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	10.0
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-5.8724365272e-06	1.7892193899e-04	-4.5963798242e-05
-125.000	0.000	-350.000	-1.3864920220e-06	1.9234763314e-04	-4.4306398427e-05
-120.000	0.000	-350.000	-4.2093182830e-06	2.0533904297e-04	-4.5672623398e-05
-115.000	0.000	-350.000	-4.7738835347e-06	2.1762965901e-04	-4.5773386194e-05
-110.000	0.000	-350.000	-4.8186311108e-06	2.3064111267e-04	-4.6005288805e-05
-105.000	0.000	-350.000	-1.9249545218e-06	2.4399553951e-04	-4.4790208029e-05
-100.000	0.000	-350.000	-4.3666805923e-06	2.5755708650e-04	-4.5705964029e-05
-95.000	0.000	-350.000	-1.5304300586e-06	2.7045718510e-04	-4.4023373515e-05
-90.000	0.000	-350.000	1.5282459891e-07	2.8312863487e-04	-4.2988332145e-05
-85.000	0.000	-350.000	2.1105310591e-06	2.9463308484e-04	-4.1140520279e-05
-80.000	0.000	-350.000	4.6044626442e-06	3.0529197961e-04	-3.7775339243e-05
-75.000	0.000	-350.000	4.2942127817e-06	3.1736285498e-04	-3.9701686821e-05
-70.000	0.000	-350.000	4.5082553551e-06	3.2725711245e-04	-3.9250476946e-05
-65.000	0.000	-350.000	7.1767024915e-06	3.3791971898e-04	-3.6847728794e-05
-60.000	0.000	-350.000	6.3115826816e-06	3.4770039438e-04	-3.6517286094e-05
-55.000	0.000	-350.000	5.8984133932e-06	3.5691612904e-04	-3.6958864231e-05
-50.000	0.000	-350.000	7.1990762797e-06	3.6534718255e-04	-3.5034739360e-05
-45.000	0.000	-350.000	6.8716731792e-06	3.7369583340e-04	-3.4398303755e-05
-40.000	0.000	-350.000	1.0928786775e-05	3.7948851724e-04	-3.0424841414e-05
-35.000	0.000	-350.000	6.7247519701e-06	3.8690104422e-04	-3.1345783740e-05
-30.000	0.000	-350.000	8.5586568094e-06	3.9218075297e-04	-3.0097362325e-05
-25.000	0.000	-350.000	9.8384374954e-06	3.9719172513e-04	-2.9426104282e-05
-20.000	0.000	-350.000	1.1844620507e-05	4.0005354700e-04	-2.5906074518e-05
-15.000	0.000	-350.000	9.4140813121e-06	4.0260802925e-04	-2.6586964300e-05
-10.000	0.000	-350.000	9.2544816228e-06	4.0497172337e-04	-2.5294829610e-05
-5.000	0.000	-350.000	1.2304028960e-05	4.0634213146e-04	-2.2752050791e-05
0.000	0.000	-350.000	1.3970130393e-05	4.0574898083e-04	-1.9722498751e-05
5.000	0.000	-350.000	1.1077199571e-05	4.0742598618e-04	-2.0021823531e-05
10.000	0.000	-350.000	1.2318944818e-05	4.0423455369e-04	-1.8230320268e-05
15.000	0.000	-350.000	9.6713798767e-06	4.0338825617e-04	-1.8673380215e-05
20.000	0.000	-350.000	1.2736588866e-05	3.9907585066e-04	-1.5480088623e-05
25.000	0.000	-350.000	1.0813188869e-05	3.9557559381e-04	-1.5754963607e-05
30.000	0.000	-350.000	1.0478327839e-05	3.9260315936e-04	-1.5340798873e-05
35.000	0.000	-350.000	1.2127276032e-05	3.8621212834e-04	-1.1745937892e-05
40.000	0.000	-350.000	1.0377645792e-05	3.8022865639e-04	-1.0771650548e-05
45.000	0.000	-350.000	1.3750121475e-05	3.7252957602e-04	-8.9349521996e-06
50.000	0.000	-350.000	9.8451496319e-06	3.6639985789e-04	-1.0834627297e-05
55.000	0.000	-350.000	1.2793269130e-05	3.5659394208e-04	-7.1893849095e-06
60.000	0.000	-350.000	8.2058967486e-06	3.4815398016e-04	-8.0806911278e-06
65.000	0.000	-350.000	1.0793798253e-05	3.3885361573e-04	-5.7357333705e-06
70.000	0.000	-350.000	1.2229449665e-05	3.2909892313e-04	-2.8388029308e-06
75.000	0.000	-350.000	1.2910358621e-05	3.1778971558e-04	4.7825019133e-09
80.000	0.000	-350.000	9.9368821636e-06	3.0778410314e-04	-2.3142436590e-06
85.000	0.000	-350.000	8.9636223760e-06	2.9670280197e-04	7.1234479748e-07
90.000	0.000	-350.000	8.5802848046e-06	2.8502760777e-04	1.8444444708e-06
95.000	0.000	-350.000	9.5117801874e-06	2.7330044790e-04	3.9945447683e-06
100.000	0.000	-350.000	9.5632399003e-06	2.6116721365e-04	3.3418092884e-06
105.000	0.000	-350.000	7.7129276152e-06	2.4878231721e-04	3.8656276588e-06
110.000	0.000	-350.000	8.1089436664e-06	2.3583173764e-04	5.5985996091e-06
115.000	0.000	-350.000	5.1787232070e-06	2.2265770578e-04	5.7816026325e-06
120.000	0.000	-350.000	3.8899930091e-06	2.1220370392e-04	5.7704890886e-06
125.000	0.000	-350.000	8.6406940328e-06	1.9826577710e-04	9.3764636473e-06
130.000	0.000	-350.000	7.8330002786e-06	1.8574873929e-04	1.0687120931e-05
-130.000	0.000	-349.000	-5.7292442838e-06	1.8383566139e-04	-4.6092715349e-05
-125.000	0.000	-349.000	-1.4670376591e-06	1.9749742800e-04	-4.4946538544e-05
-120.000	0.000	-349.000	-3.9878177813e-06	2.1083774997e-04	-4.5522220106e-05
-115.000	0.000	-349.000	-4.1160941661e-06	2.2374527237e-04	-4.6352772271e-05
-110.000	0.000	-349.000	-5.1549837243e-06	2.3835652532e-04	-4.7155911027e-05
-105.000	0.000	-349.000	-1.6870465752e-06	2.5103688357e-04	-4.4737603922e-05
-100.000	0.000	-349.000	-3.5821064246e-06	2.6475358509e-04	-4.6586897591e-05
-95.000	0.000	-349.000	-1.4968693765e-06	2.7773979816e-04	-4.4813916922e-05
-90.000	0.000	-349.000	2.7811781229e-07	2.9102221534e-04	-4.3156517107e-05
-85.000	0.000	-349.000	1.8972342789e-06	3.0224308138e-04	-4.0733764580e-05
-80.000	0.000	-349.000	5.0653626803e-06	3.1375124313e-04	-3.7836093282e-05
-75.000	0.000	-349.000	4.9027798197e-06	3.2547543344e-04	-3.8965229324e-05
-70.000	0.000	-349.000	4.6245990535e-06	3.3692643293e-04	-3.9946184782e-05
-65.000	0.000	-349.000	6.7210230054e-06	3.4739082765e-04	-3.7440451126e-05
-60.000	0.000	-349.000	6.0363850870e-06	3.5670158519e-04	-3.7303384087e-05
-55.000	0.000	-349.000	6.1340839620e-06	3.6611701635e-04	-3.7502686971e-05
-50.000	0.000	-349.000	7.1468707739e-06	3.7500165563e-04	-3.5589675644e-05
-45.000	0.000	-349.000	7.4533916722e-06	3.8413647231e-04	-3.4554634271e-05
-40.000	0.000	-349.000	1.1837162578e-05	3.8972574779e-04	-3.0049944538e-05
-35.000	0.000	-349.000	7.4138646463e-06	3.9665499433e-04	-3.1785880073e-05
-30.000	0.000	-349.000	8.5459783294e-06	4.0249296248e-04	-3.0122553024e-05
-25.000	0.000	-349.000	1.0124821985e-05	4.0769991932e-04	-2.9927695557e-05
-20.000	0.000	-349.000	1.1900554978e-05	4.1092253118e-04	-2.6589927912e-05
-15.000	0.000	-349.000	8.9494523101e-06	4.1329364896e-04	-2.7382694034e-05
-10.000	0.000	-349.000	9.7899609543e-06	4.1613616931e-04	-2.6163167831e-05
-5.000	0.000	-349.000	1.1916216630e-05	4.1694980271e-04	-2.3063230017e-05
0.000	0.000	-349.000	1.4012640590e-05	4.1722076639e-04	-2.1047233172e-05
5.000	0.000	-349.000	1.1845366300e-05	4.1801361354e-04	-2.0167040503e-05
10.000	0.000	-349.000	1.1984083788e-05	4.1540716566e-04	-1.9034940840e-05
15.000	0.000	-349.000	9.6408023661e-06	4.1404343887e-04	-1.9020863685e-05
20.000	0.000	-349.000	1.2710486113e-05	4.1029448934e-04	-1.4786603488e-05
25.000	0.000	-349.000	1.0898209265e-05	4.0707410458e-04	-1.5153350434e-05
30.000	0.000	-349.000	1.0395544822e-05	4.0315886500e-04	-1.6001684280e-05
35.000	0.000	-349.000	1.2114597552e-05	3.9682499620e-04	-1.2620944245e-05
40.000	0.000	-349.000	9.5460866626e-06	3.9064925140e-04	-1.1952649808e-05
45.000	0.000	-349.000	1.3667338458e-05	3.8277423025e-04	-8.6400728358e-06
50.000	0.000	-349.000	1.0021902559e-05	3.7685979835e-04	-1.0838331811e-05
55.000	0.000	-349.000	1.2264501934e-05	3.6625880831e-04	-6.1454526882e-06
60.000	0.000	-349.000	8.4512626260e-06	3.5752932356e-04	-8.2029401104e-06
65.000	0.000	-349.000	1.0494735284e-05	3.4854743427e-04	-6.4166231588e-06
70.000	0.000	-349.000	1.2497189332e-05	3.3780465221e-04	-3.0914508286e-06
75.000	0.000	-349.000	1.3268339234e-05	3.2676863546e-04	-8.1169252369e-07
80.000	0.000	-349.000	9.2447863146e-06	3.1613498119e-04	-1.7807935519e-06
85.000	0.000	-349.000	9.0814576606e-06	3.0415690160e-04	-6.7907089977e-07
90.000	0.000	-349.000	7.8866973703e-06	2.9221074373e-04	1.7903585571e-06
95.000	0.000	-349.000	9.4230308274e-06	2.8018663737e-04	3.2692008014e-06
100.000	0.000	-349.000	9.0352184983e-06	2.6823899470e-04	2.9046765608e-06
105.000	0.000	-349.000	7.4742738745e-06	2.5553933498e-04	4.2145929381e-06
110.000	0.000	-349.000	7.9657514219e-06	2.4271866952e-04	5.5793361329e-06
115.000	0.000	-349.000	4.9773591136e-06	2.2911703471e-04	5.3029793404e-06
120.000	0.000	-349.000	3.9586059594e-06	2.1701126791e-04	5.7356666509e-06
