fieldmap_name:      	LDE05
timestamp:          	2026-01-19_10-23-15
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=5.0A_ID=5477.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	5.0
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-1.0970677018e-05	7.2139229799e-05	-3.1714012490e-05
-125.000	0.000	-350.000	-5.1176940775e-06	7.9348348894e-05	-2.8420699022e-05
-120.000	0.000	-350.000	-8.8660493627e-06	8.6517380199e-05	-3.2127436317e-05
-115.000	0.000	-350.000	-9.6096049168e-06	9.3543877164e-05	-3.2778689981e-05
-110.000	0.000	-350.000	-4.4763121537e-06	1.0012792381e-04	-2.7872430863e-05
-105.000	0.000	-350.000	-7.1753367828e-06	1.0657463268e-04	-2.9735801701e-05
-100.000	0.000	-350.000	-8.0344902423e-06	1.1351353040e-04	-2.9949181741e-05
-95.000	0.000	-350.000	-7.1887610556e-06	1.2010574304e-04	-3.1397646944e-05
-90.000	0.000	-350.000	-6.7584385328e-06	1.2623917332e-04	-2.9412768029e-05
-85.000	0.000	-350.000	-4.4576673303e-06	1.3206229447e-04	-2.7778336193e-05
-80.000	0.000	-350.000	-6.6823676536e-06	1.3940652414e-04	-2.8163605710e-05
-75.000	0.000	-350.000	-5.7620591729e-06	1.4497055945e-04	-2.8231027876e-05
-70.000	0.000	-350.000	-3.3822339179e-06	1.4981895365e-04	-2.6496574144e-05
-65.000	0.000	-350.000	-4.6232333619e-06	1.5504595465e-04	-2.5655649332e-05
-60.000	0.000	-350.000	-3.8446255378e-06	1.6106951467e-04	-2.6548437348e-05
-55.000	0.000	-350.000	-3.4172861859e-06	1.6520226776e-04	-2.3401081749e-05
-50.000	0.000	-350.000	-1.8667826728e-06	1.6816876342e-04	-2.1668850722e-05
-45.000	0.000	-350.000	-4.2339294499e-06	1.7307431981e-04	-2.2669069664e-05
-40.000	0.000	-350.000	-4.9916550716e-06	1.7706602329e-04	-2.2064492882e-05
-35.000	0.000	-350.000	-1.4230358758e-06	1.7930648473e-04	-1.9610622410e-05
-30.000	0.000	-350.000	3.6090082828e-07	1.8273695930e-04	-1.8429623154e-05
-25.000	0.000	-350.000	8.2702141389e-07	1.8414745523e-04	-1.7806523797e-05
-20.000	0.000	-350.000	-4.2525742732e-06	1.8786522555e-04	-2.1287285719e-05
-15.000	0.000	-350.000	-2.6088466439e-06	1.8922375584e-04	-1.7129338527e-05
-10.000	0.000	-350.000	-3.3971497767e-06	1.8952441418e-04	-1.7601293688e-05
-5.000	0.000	-350.000	-3.1674455526e-06	1.9049617164e-04	-1.7261960150e-05
0.000	0.000	-350.000	-3.4970860300e-06	1.9261488500e-04	-1.6906326747e-05
5.000	0.000	-350.000	-6.8016945230e-06	1.9171662180e-04	-1.7940627226e-05
10.000	0.000	-350.000	-1.2492661217e-06	1.9032171557e-04	-1.2083789625e-05
15.000	0.000	-350.000	-3.3389779277e-06	1.8830916059e-04	-1.3386296964e-05
20.000	0.000	-350.000	-3.1875819618e-06	1.8807531521e-04	-1.1571084803e-05
25.000	0.000	-350.000	-1.7362689090e-06	1.8535380043e-04	-1.0506407301e-05
30.000	0.000	-350.000	-6.4442805034e-07	1.8320242296e-04	-9.9974069927e-06
35.000	0.000	-350.000	-3.0988326025e-06	1.8147419426e-04	-1.0999848649e-05
40.000	0.000	-350.000	-2.4179236523e-06	1.7831468338e-04	-8.6148821364e-06
45.000	0.000	-350.000	-3.5282301216e-07	1.7492949314e-04	-5.8513142269e-06
50.000	0.000	-350.000	-1.0702758170e-06	1.7249527411e-04	-4.9540807842e-06
55.000	0.000	-350.000	-1.3186248648e-06	1.6830610118e-04	-4.9103675116e-06
60.000	0.000	-350.000	-3.7072204264e-07	1.6474200067e-04	-3.4996883409e-06
65.000	0.000	-350.000	-3.2830434575e-06	1.5975998055e-04	-4.6110427297e-06
70.000	0.000	-350.000	-1.0322403773e-06	1.5461389748e-04	-2.3016483092e-06
75.000	0.000	-350.000	-2.1949315645e-06	1.4953833920e-04	-1.0295179842e-06
80.000	0.000	-350.000	-5.7432351431e-07	1.4501361669e-04	6.1602741692e-07
85.000	0.000	-350.000	-9.4423681077e-07	1.3929145737e-04	1.2265314292e-06
90.000	0.000	-350.000	-1.6870465752e-06	1.3335252708e-04	1.2235678175e-06
95.000	0.000	-350.000	-1.5610075690e-06	1.2827622641e-04	3.3003888697e-07
100.000	0.000	-350.000	-4.2898639200e-06	1.2148283251e-04	-1.3154363668e-07
105.000	0.000	-350.000	-8.9799764872e-07	1.1516603776e-04	4.4324183991e-06
110.000	0.000	-350.000	-2.7080371043e-06	1.0905413609e-04	2.8283635592e-06
115.000	0.000	-350.000	-3.4359310093e-06	1.0320428972e-04	4.5546673823e-06
120.000	0.000	-350.000	-4.5165849722e-06	9.7393046390e-05	5.6600945522e-06
125.000	0.000	-350.000	-3.5351214697e-06	9.1414028270e-05	6.4780513860e-06
130.000	0.000	-350.000	-5.1378304868e-06	8.6094231411e-05	5.4296737413e-06
-130.000	0.000	-349.000	-1.0818535260e-05	7.5204460234e-05	-3.2676445378e-05
-125.000	0.000	-349.000	-6.3788299295e-06	8.1311907744e-05	-2.8654824345e-05
-120.000	0.000	-349.000	-8.2664318445e-06	8.9866936915e-05	-3.2869821040e-05
-115.000	0.000	-349.000	-9.4634295020e-06	9.6901599905e-05	-3.2700154272e-05
-110.000	0.000	-349.000	-4.1190773379e-06	1.0297638327e-04	-2.9655043283e-05
-105.000	0.000	-349.000	-7.7436309982e-06	1.1004074089e-04	-3.0072912529e-05
-100.000	0.000	-349.000	-7.3394112282e-06	1.1673540009e-04	-3.0698975494e-05
