fieldmap_name:      	LDE05
timestamp:          	2026-01-19_15-01-21
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=7.5A_ID=5482.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	7.5
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	0.000	-350.000	-9.1912150815e-06	1.4579829786e-04	-3.9991379860e-05
-125.000	0.000	-350.000	-1.4517668200e-05	1.5715427490e-04	-4.4077459427e-05
-120.000	0.000	-350.000	-1.3671193224e-05	1.6641974846e-04	-4.2097025941e-05
-115.000	0.000	-350.000	-7.0261781961e-06	1.7698733247e-04	-3.7014431950e-05
-110.000	0.000	-350.000	-1.1400253747e-05	1.8763583437e-04	-4.1325746008e-05
-105.000	0.000	-350.000	-1.2090858002e-05	1.9759096615e-04	-4.3163185233e-05
-100.000	0.000	-350.000	-9.4582089514e-06	2.0762181927e-04	-4.0655969774e-05
-95.000	0.000	-350.000	-8.9011016306e-06	2.1778629830e-04	-3.9520906510e-05
-90.000	0.000	-350.000	-7.2581197985e-06	2.2608149903e-04	-3.8474751595e-05
-85.000	0.000	-350.000	-6.4161195762e-06	2.3468997831e-04	-3.7414519524e-05
-80.000	0.000	-350.000	-6.3929999952e-06	2.4468371304e-04	-3.6864028658e-05
-75.000	0.000	-350.000	-8.3969456078e-06	2.5309026866e-04	-3.6003099471e-05
-70.000	0.000	-350.000	-8.8824568073e-06	2.6176407613e-04	-3.6888478454e-05
-65.000	0.000	-350.000	-5.4801494437e-06	2.6955817956e-04	-3.4759123475e-05
-60.000	0.000	-350.000	-4.3927833450e-06	2.7742874670e-04	-3.3261017779e-05
-55.000	0.000	-350.000	-3.8334386437e-06	2.8376706986e-04	-3.1917760792e-05
-50.000	0.000	-350.000	-7.5497248355e-06	2.9140379160e-04	-3.4592420319e-05
-45.000	0.000	-350.000	-2.2337127972e-06	2.9717197745e-04	-3.0700457299e-05
-40.000	0.000	-350.000	-1.0596555014e-07	3.0236854128e-04	-2.7991716233e-05
