fieldmap_name:      	LDE05
timestamp:          	2026-01-19_15-58-20
filename:           	2026-01-19_LDE05_Fieldmap_X=-130_130mm_Z=-350_350mm_Imc=10.0A_ID=5483.dat
nr_magnets:         	1
magnet_name:        	LDE05
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
current_main[A]:    	10.0
nr_turns_main:      	 
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-130.000	-5.000	-350.000	2.1712206947e-05	1.8884292194e-04	-5.7174400176e-05
-125.000	-5.000	-350.000	1.8923687124e-05	2.0244455687e-04	-6.1095258363e-05
-120.000	-5.000	-350.000	2.5950548263e-05	2.1433355276e-04	-5.8048665608e-05
-115.000	-5.000	-350.000	2.8445971468e-05	2.2854021612e-04	-5.6352738850e-05
-110.000	-5.000	-350.000	3.2926695509e-05	2.4117306295e-04	-5.5245829905e-05
-105.000	-5.000	-350.000	3.6405819627e-05	2.5367302618e-04	-5.4265615356e-05
-100.000	-5.000	-350.000	3.5227466763e-05	2.6773863984e-04	-5.4590130830e-05
-95.000	-5.000	-350.000	3.6861499120e-05	2.8116878793e-04	-5.5917087940e-05
-90.000	-5.000	-350.000	4.0474865978e-05	2.9314315575e-04	-5.4453063792e-05
-85.000	-5.000	-350.000	4.1300458778e-05	3.0512568957e-04	-5.2406689956e-05
-80.000	-5.000	-350.000	4.3126905723e-05	3.1695529590e-04	-5.3028307497e-05
-75.000	-5.000	-350.000	4.8036460752e-05	3.2791262186e-04	-4.8370250899e-05
-70.000	-5.000	-350.000	5.3947615738e-05	3.3899540768e-04	-4.4850962068e-05
-65.000	-5.000	-350.000	5.1070346503e-05	3.4885328917e-04	-4.6903263134e-05
-60.000	-5.000	-350.000	5.3885714923e-05	3.5895540913e-04	-4.4487919641e-05
-55.000	-5.000	-350.000	5.4042331444e-05	3.6831961702e-04	-4.4434574631e-05
-50.000	-5.000	-350.000	5.1912346753e-05	3.7719386316e-04	-4.6039370339e-05
-45.000	-5.000	-350.000	5.9001854631e-05	3.8390262695e-04	-3.8514760352e-05
-40.000	-5.000	-350.000	5.7864520365e-05	3.9103008528e-04	-3.9091182819e-05
-35.000	-5.000	-350.000	5.8303046627e-05	3.9665647906e-04	-3.6834392541e-05
-30.000	-5.000	-350.000	6.1157196292e-05	4.0383293355e-04	-3.4389412920e-05
-25.000	-5.000	-350.000	6.2459350804e-05	4.0722628966e-04	-3.2028896229e-05
-20.000	-5.000	-350.000	6.6902039490e-05	4.1158101004e-04	-2.7123378013e-05
-15.000	-5.000	-350.000	6.2457113426e-05	4.1495506462e-04	-2.8327345255e-05
-10.000	-5.000	-350.000	6.2381042543e-05	4.1634180476e-04	-2.5505246039e-05
-5.000	-5.000	-350.000	6.3654111132e-05	4.1841374894e-04	-2.2589052149e-05
0.000	-5.000	-350.000	6.1104990784e-05	4.1838479666e-04	-2.2572752285e-05
5.000	-5.000	-350.000	5.7516980846e-05	4.1825191310e-04	-2.4327210398e-05
10.000	-5.000	-350.000	6.1188519596e-05	4.1773151436e-04	-1.8879351227e-05
15.000	-5.000	-350.000	5.9711849531e-05	4.1515624587e-04	-1.8107330383e-05
20.000	-5.000	-350.000	6.1503990019e-05	4.1187795654e-04	-1.3686362648e-05
25.000	-5.000	-350.000	5.7252224344e-05	4.0884019387e-04	-1.4062000429e-05
